internal_id,entity,CID,has_smiles,degree
2610,CID2249,CID2249,True,241
2611,CID22508903,CID22508903,True,2
2613,CID22570509,CID22570509,True,1
2614,CID22571,CID22571,True,1
2615,CID22624897,CID22624897,True,1
2616,CID2265,CID2265,True,2
2617,CID2267,CID2267,True,1
2619,CID22833280,CID22833280,True,25
2620,CID2284,CID2284,True,236
2621,CID22880,CID22880,True,1
2622,CID229455,CID229455,True,3
2623,CID2296132,CID2296132,True,2
2624,CID23009,CID23009,True,1
2625,CID23063810,CID23063810,True,1
2626,CID2310,CID2310,True,1
2627,CID23116321,CID23116321,True,3
2628,CID2315,CID2315,True,1
2631,CID2333,CID2333,True,1
2632,CID2337,CID2337,True,1
2636,CID2355,CID2355,True,1
2637,CID23565,CID23565,True,1
2638,CID23582824,CID23582824,True,47
2641,CID23634362,CID23634362,True,1
2643,CID23642227,CID23642227,True,1
2644,CID23643975,CID23643975,True,1
2645,CID23653175,CID23653175,True,1
2648,CID23662354,CID23662354,True,3
2649,CID23663126,CID23663126,True,1
2650,CID23663939,CID23663939,True,2
2651,CID23663941,CID23663941,True,1
2652,CID23663953,CID23663953,True,1
2653,CID23663956,CID23663956,True,1
2654,CID23663973,CID23663973,True,1
2655,CID23663974,CID23663974,True,1
2657,CID23663991,CID23663991,True,1
2658,CID23663996,CID23663996,True,1
2659,CID23665411,CID23665411,True,1
2661,CID23666879,CID23666879,True,1
2663,CID23667548,CID23667548,True,1
2664,CID23667628,CID23667628,True,1
2667,CID23668834,CID23668834,True,1
2670,CID23674541,CID23674541,True,1
2672,CID23679527,CID23679527,True,1
2673,CID23681059,CID23681059,True,1
2675,CID23683671,CID23683671,True,1
2676,CID23685176,CID23685176,True,1
2678,CID2369,CID2369,True,3
2679,CID23696523,CID23696523,True,3
2681,CID2370,CID2370,True,2
2682,CID23711819,CID23711819,True,1
2683,CID23725083,CID23725083,True,1
2684,CID23725625,CID23725625,True,69
2685,CID2375,CID2375,True,4
2686,CID2377,CID2377,True,1
2687,CID2378,CID2378,True,1
2688,CID238053,CID238053,True,1
2690,CID2391,CID2391,True,1
2691,CID2404,CID2404,True,1
2692,CID2405,CID2405,True,1
2694,CID240767,CID240767,True,1
2695,CID2415,CID2415,True,1
2697,CID24180719,CID24180719,True,5
2698,CID24197464,CID24197464,True,98
2699,CID243,CID243,True,1
2701,CID24360,CID24360,True,79
2702,CID2438,CID2438,True,1
2703,CID2442,CID2442,True,1
2705,CID2453,CID2453,True,1
2709,CID24720972,CID24720972,True,1
2712,CID24748204,CID24748204,True,37
2713,CID24748573,CID24748573,True,4
2715,CID24756910,CID24756910,True,32
2716,CID24764449,CID24764449,True,1
2717,CID24765037,CID24765037,True,1
2718,CID24767976,CID24767976,True,1
2721,CID24770514,CID24770514,True,4
2722,CID24771824,CID24771824,True,1
2723,CID24771867,CID24771867,True,55
2724,CID24772860,CID24772860,True,3
2725,CID24775005,CID24775005,True,4
2726,CID24776050,CID24776050,True,2
2727,CID24776445,CID24776445,True,103
2728,CID24779724,CID24779724,True,3
2729,CID24779775,CID24779775,True,8
2730,CID2478,CID2478,True,308
2731,CID24780598,CID24780598,True,1
2732,CID24785538,CID24785538,True,121
2733,CID24788636,CID24788636,True,1
2734,CID24788740,CID24788740,True,5
2735,CID24794418,CID24794418,True,2
2736,CID24795070,CID24795070,True,4
2737,CID24800108,CID24800108,True,1
2738,CID24800541,CID24800541,True,4
2739,CID24812758,CID24812758,True,3
2740,CID24821094,CID24821094,True,286
2741,CID24822275,CID24822275,True,1
2743,CID24826799,CID24826799,True,42
2744,CID24840086,CID24840086,True,4
2745,CID24853505,CID24853505,True,2
2748,CID24857286,CID24857286,True,2
2749,CID24857323,CID24857323,True,3
2750,CID24858111,CID24858111,True,1
2752,CID24864821,CID24864821,True,2
2754,CID24866733,CID24866733,True,1
2756,CID24879368,CID24879368,True,1
2758,CID24883277,CID24883277,True,1
2760,CID24889392,CID24889392,True,3
2763,CID24905149,CID24905149,True,4
2764,CID24906275,CID24906275,True,3
2766,CID24951314,CID24951314,True,5
2768,CID24963252,CID24963252,True,18
